P,d_sj,h_x
0.0,0.0,0.0
0.0,0.044444444444444446,0.0
0.0,0.08888888888888889,0.0
0.0,0.13333333333333333,0.0
0.0,0.17777777777777778,0.0
0.0,0.2222222222222222,0.0
0.0,0.26666666666666666,0.0
0.0,0.3111111111111111,0.0
0.0,0.35555555555555557,0.0
0.0,0.4,0.0
0.28125032458204935,0.0,0.0
0.2812503283276816,0.044444444444444446,0.0
0.2812503315158874,0.08888888888888889,0.0
0.28125033330764737,0.13333333333333333,0.0
0.28125033836070973,0.17777777777777778,1.0
0.2812503540892736,0.2222222222222222,1.0
0.2812503271382453,0.26666666666666666,1.0
0.2812503525021538,0.3111111111111111,1.0
0.28125032337834144,0.35555555555555557,1.0
0.28125032703556324,0.4,1.0
0.19565223110698057,0.0,0.0
0.19565223009361554,0.044444444444444446,0.0
0.19565223634560103,0.08888888888888889,0.0
0.1956522307381893,0.13333333333333333,0.0
0.19565223253628372,0.17777777777777778,1.0
0.1956522317315892,0.2222222222222222,1.0
0.19565223621513653,0.26666666666666666,1.0
0.19565223298025505,0.3111111111111111,1.0
0.1956522300468205,0.35555555555555557,1.0
0.19565222945589497,0.4,1.0
0.1500000196970431,0.0,0.0
0.15000002014075872,0.044444444444444446,0.0
0.15000002169459054,0.08888888888888889,0.0
0.15000002117606442,0.13333333333333333,0.0
0.15000002111334726,0.17777777777777778,1.0
0.1500000219087331,0.2222222222222222,1.0
0.1500000215158918,0.26666666666666666,1.0
0.15000002260329143,0.3111111111111111,1.0
0.15000002216350702,0.35555555555555557,1.0
0.150000020594597,0.4,1.0
0.1216216316272185,0.0,0.0
0.12162163216438251,0.044444444444444446,0.0
0.12162163210542445,0.08888888888888889,0.0
0.12162163113239866,0.13333333333333333,0.0
0.12162163144778082,0.17777777777777778,1.0
0.12162163188008861,0.2222222222222222,1.0
0.12162163155920698,0.26666666666666666,1.0
0.12162163080782065,0.3111111111111111,1.0
0.12162163198058815,0.35555555555555557,1.0
0.12162163104761654,0.4,1.0
0.1022727331218061,0.0,0.0
0.10227273351432091,0.044444444444444446,0.0
0.10227273273933905,0.08888888888888889,0.0
0.10227273329366542,0.13333333333333333,0.0
0.10227273290794256,0.17777777777777778,1.0
0.10227273317827167,0.2222222222222222,1.0
0.10227273345652406,0.26666666666666666,1.0
0.1022727331369224,0.3111111111111111,1.0
0.10227273304209338,0.35555555555555557,1.0
0.10227273257419772,0.4,1.0
0.08823529722951176,0.0,0.0
0.08823529745694295,0.044444444444444446,0.0
0.08823529774785326,0.08888888888888889,0.0
0.08823529740051186,0.13333333333333333,0.0
0.08823529755176675,0.17777777777777778,1.0
0.08823529760886112,0.2222222222222222,1.0
0.08823529739045768,0.26666666666666666,1.0
0.08823529732212507,0.3111111111111111,1.0
0.0882352974711156,0.35555555555555557,1.0
0.08823529790002188,0.4,1.0
0.07758620893940081,0.0,0.0
0.07758620894059945,0.044444444444444446,0.0
0.077586209405466,0.08888888888888889,0.0
0.07758620924880423,0.13333333333333333,0.0
0.07758620905413408,0.17777777777777778,1.0
0.07758620944501386,0.2222222222222222,1.0
0.07758620940096357,0.26666666666666666,1.0
0.07758620940660647,0.3111111111111111,1.0
0.07758620890412078,0.35555555555555557,1.0
0.0775862091649658,0.4,1.0
0.0692307707526486,0.0,0.0
0.06923077081164743,0.044444444444444446,0.0
0.06923077095191715,0.08888888888888889,0.0
0.06923077081927893,0.13333333333333333,0.0
0.06923077090647695,0.17777777777777778,1.0
0.06923077082618392,0.2222222222222222,1.0
0.06923077062887173,0.26666666666666666,1.0
0.06923077098515076,0.3111111111111111,1.0
0.06923077064571975,0.35555555555555557,1.0
0.06923077098074591,0.4,1.0
0.06250000111674871,0.0,0.0
0.06250000106000307,0.044444444444444446,0.0
0.06250000124747666,0.08888888888888889,0.0
0.06250000106623238,0.13333333333333333,0.0
0.06250000109494243,0.17777777777777778,1.0
0.06250000107069757,0.2222222222222222,1.0
0.06250000101501232,0.26666666666666666,1.0
0.06250000103557463,0.3111111111111111,1.0
0.06250000109077376,0.35555555555555557,1.0
0.06250000107028257,0.4,1.0
