s,d_s,h_x
0.2777777777777778,0.0,0.0
0.2777777777777778,0.05,0.30805987184534916
0.2777777777777778,0.1,0.6245436071367364
0.2777777777777778,0.15,0.8184162048198721
0.2777777777777778,0.2,0.9813020460595542
0.2777777777777778,0.25,1.0
0.2777777777777778,0.3,1.0
0.2777777777777778,0.35,1.0
0.2777777777777778,0.4,1.0
0.2777777777777778,0.45,1.0
0.36666666666666664,0.0,0.0
0.36666666666666664,0.05,0.27157065525501717
0.36666666666666664,0.1,0.5715436607034826
0.36666666666666664,0.15,0.7614194354060623
0.36666666666666664,0.2,0.920231545962122
0.36666666666666664,0.25,1.0
0.36666666666666664,0.3,1.0
0.36666666666666664,0.35,1.0
0.36666666666666664,0.4,1.0
0.36666666666666664,0.45,1.0
0.45555555555555555,0.0,0.0
0.45555555555555555,0.05,0.2875520881372554
0.45555555555555555,0.1,0.5706684171712394
0.45555555555555555,0.15,0.7548351710303463
0.45555555555555555,0.2,0.9084534477704613
0.45555555555555555,0.25,1.0
0.45555555555555555,0.3,1.0
0.45555555555555555,0.35,1.0
0.45555555555555555,0.4,1.0
0.45555555555555555,0.45,1.0
0.5444444444444444,0.0,0.0
0.5444444444444444,0.05,0.32711911331439536
0.5444444444444444,0.1,0.6000539416971693
0.5444444444444444,0.15,0.7802774171780587
0.5444444444444444,0.2,0.9300792765762539
0.5444444444444444,0.25,1.0
0.5444444444444444,0.3,1.0
0.5444444444444444,0.35,1.0
0.5444444444444444,0.4,1.0
0.5444444444444444,0.45,1.0
0.6333333333333333,0.0,0.0
0.6333333333333333,0.05,0.38609408573109066
0.6333333333333333,0.1,0.6537217195305405
0.6333333333333333,0.15,0.8317908847220279
0.6333333333333333,0.2,0.9792620246169098
0.6333333333333333,0.25,1.0
0.6333333333333333,0.3,1.0
0.6333333333333333,0.35,1.0
0.6333333333333333,0.4,1.0
0.6333333333333333,0.45,1.0
0.7222222222222222,0.0,0.0
0.7222222222222222,0.05,0.4689844020971281
0.7222222222222222,0.1,0.734575238701241
0.7222222222222222,0.15,0.911840752329327
0.7222222222222222,0.2,1.0
0.7222222222222222,0.25,1.0
0.7222222222222222,0.3,1.0
0.7222222222222222,0.35,1.0
0.7222222222222222,0.4,1.0
0.7222222222222222,0.45,1.0
0.8111111111111111,0.0,0.0
0.8111111111111111,0.05,0.5907294631870018
0.8111111111111111,0.1,0.8564881633352166
0.8111111111111111,0.15,1.0
0.8111111111111111,0.2,1.0
0.8111111111111111,0.25,1.0
0.8111111111111111,0.3,1.0
0.8111111111111111,0.35,1.0
0.8111111111111111,0.4,1.0
0.8111111111111111,0.45,1.0
0.9,0.0,0.0
0.9,0.05,0.7987793130709056
0.9,0.1,1.0
0.9,0.15,1.0
0.9,0.2,1.0
0.9,0.25,1.0
0.9,0.3,1.0
0.9,0.35,1.0
0.9,0.4,1.0
0.9,0.45,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
